"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"15","RT @PlayApexESP: <U+0001F6A8> SORTEO PASE DE BATALLA (950 Apex coins) <U+0001F6A8>

<U+0001F4CC>Requisitos:
<U+25AA><U+FE0F>RT a este tweet
<U+25AA><U+FE0F>Seguir a @PlayApexESP + @NattyDreadTV 

<U+0001F534> MA…",FALSE,0,NA,2019-03-19 16:20:24,FALSE,NA,"1108040533258235905",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ApexEspLegends",507,TRUE,FALSE,NA,NA
"16","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:20:23,FALSE,NA,"1108040529504288770",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","noa_lchz",2008,TRUE,FALSE,NA,NA
"17","RT @paysafecard: <U+2605><U+2501> #GIVEAWAY <U+2501> <U+2605>
Battle Pass?!? Battle Pass!!1 <U+0001F92A> The #ApexLegends Battle Pass is finally here - and for a wild start into…",FALSE,0,NA,2019-03-19 16:20:19,FALSE,NA,"1108040513637232640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Zangya2k",434,TRUE,FALSE,NA,NA
"18","RT @ApexUpdatesBR: @PlayApex needs to add Creator Codes for this game ASAP! 

Thoughts? <U+0001F914><U+0001F447><U+0001F3FC>
#ApexLegends",FALSE,0,NA,2019-03-19 16:20:16,FALSE,NA,"1108040499158503425",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ApexNewsFrance",2,TRUE,FALSE,NA,NA
"19","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:20:15,FALSE,NA,"1108040498831335424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gruntik2447",2008,TRUE,FALSE,NA,NA
"20","RT @paysafecard: <U+2605><U+2501> #GIVEAWAY <U+2501> <U+2605>
Battle Pass?!? Battle Pass!!1 <U+0001F92A> The #ApexLegends Battle Pass is finally here - and for a wild start into…",FALSE,0,NA,2019-03-19 16:20:15,FALSE,NA,"1108040495995981824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Capxy1",434,TRUE,FALSE,NA,NA
"21","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:20:12,FALSE,NA,"1108040485858357249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Skyzz_n",2008,TRUE,FALSE,NA,NA
"22","RT @WisethugTV: <U+0001F3C6> #Concours <U+0001F3C6>

Pour fêter le début de la Saison 1 de #ApexLegends on vous fait gagner 5x Passes de combat !

Pour participe…",FALSE,0,NA,2019-03-19 16:20:11,FALSE,NA,"1108040480695169024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","miicka5c",2008,TRUE,FALSE,NA,NA
"23","RT @GWFlorian: <U+0001F3C6> #Concours <U+0001F3C6>

Vous l'attendiez depuis un moment, le voici bientôt arrivé ! Un passe de combat #ApexLegends d'une valeur de…",FALSE,0,NA,2019-03-19 16:20:10,FALSE,NA,"1108040475808800768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hakai_OW",1181,TRUE,FALSE,NA,NA
"24","Allez! Plus qu'une 30aine de minutes de patience pour le début de la saison 1 sur @PlayApex <U+0001F917><U+0001F917> #ApexLegends #Apex",FALSE,0,NA,2019-03-19 16:20:06,FALSE,NA,"1108040457538412545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ItsKillda",0,FALSE,FALSE,NA,NA
"25","RT @Saiken_Juega: Voy avisando por acá, haré un sorteo de un Battle Pass del #ApexLegends !
Veremos como lo rifamos mañana!
Así que presion…",FALSE,0,NA,2019-03-19 16:20:05,FALSE,NA,"1108040455495843841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JosAnto48417189",45,TRUE,FALSE,NA,NA
